location,truth_date,issue_date,value
IT,2020-01-05,2020-03-08,0.13086798271361436
FR,2020-01-05,2020-03-08,0.30659757579559027
ES,2020-01-05,2020-03-08,0.1448810892712199
DE,2020-01-05,2020-03-08,0.1773279339151662
IT,2020-01-12,2020-03-08,1.3970347816435558
FR,2020-01-12,2020-03-08,2.362284455786658
ES,2020-01-12,2020-03-08,2.8472303626400945
DE,2020-01-12,2020-03-08,1.6467582735759656
IT,2020-01-19,2020-03-08,5.429984966849174
FR,2020-01-19,2020-03-08,7.1144594274601545
ES,2020-01-19,2020-03-08,17.4366872751521
DE,2020-01-19,2020-03-08,5.73875710208252
IT,2020-01-26,2020-03-08,13.258572284768544
FR,2020-01-26,2020-03-08,14.932533420736371
ES,2020-01-26,2020-03-08,43.8949032094745
DE,2020-01-26,2020-03-08,13.189535507114224
IT,2020-02-02,2020-03-08,23.24327876811074
FR,2020-02-02,2020-03-08,25.293340131866834
ES,2020-02-02,2020-03-08,40.381606522060935
DE,2020-02-02,2020-03-08,23.12375085990564
IT,2020-02-09,2020-03-08,30.43837474421655
FR,2020-02-09,2020-03-08,36.702594695342334
ES,2020-02-09,2020-03-08,15.451491083690293
DE,2020-02-09,2020-03-08,32.60278809436271
IT,2020-02-16,2020-03-08,30.489719258459786
FR,2020-02-16,2020-03-08,46.92654127245983
ES,2020-02-16,2020-03-08,3.797820327123128
DE,2020-02-16,2020-03-08,37.859928413279285
IT,2020-02-23,2020-03-08,24.31918043976772
FR,2020-02-23,2020-03-08,53.72250762391231
ES,2020-02-23,2020-03-08,0.8175137530030137
DE,2020-02-23,2020-03-08,36.97024989664923
IT,2020-03-01,2020-03-08,16.35284271992637
FR,2020-03-01,2020-03-08,55.75437935338205
ES,2020-03-01,2020-03-08,0.17069948333922402
DE,2020-03-01,2020-03-08,31.185776441630757
IT,2020-03-08,2020-03-08,9.820405567761222
FR,2020-03-08,2020-03-08,53.09598391721913
ES,2020-03-08,2020-03-08,0.035413300684655445
DE,2020-03-08,2020-03-08,23.46214198024842
