recordid,recordtype,countrycode,yearweek,survtype,indicator,age,value,denominator,validFrom
304674982,INFLCLIN,AT,2021-W40,STL,ARIcases,0-4,0,0,2021-10-13 18:01:00
304674982,INFLCLIN,AT,2021-W40,STL,ARIcases,5-14,0,0,2021-10-13 18:01:00
304674982,INFLCLIN,AT,2021-W40,STL,ARIcases,15-64,0,0,2021-10-13 18:01:00
304674982,INFLCLIN,AT,2021-W40,STL,ARIcases,65+,0,0,2021-10-13 18:01:00
304674982,INFLCLIN,AT,2021-W40,STL,ARIcases,unk,0,0,2021-10-13 18:01:00
304674982,INFLCLIN,AT,2021-W40,STL,ARIcases,total,0,0,-
304674982,INFLCLIN,AT,2021-W40,STL,ILIcases,0-4,5,1299,2021-10-13 18:01:00
304674982,INFLCLIN,AT,2021-W40,STL,ILIcases,5-14,3,2550,2021-10-13 18:01:00
304674982,INFLCLIN,AT,2021-W40,STL,ILIcases,15-64,157,15114,2021-10-13 18:01:00
304674982,INFLCLIN,AT,2021-W40,STL,ILIcases,65+,1,4374,2021-10-13 18:01:00
304674982,INFLCLIN,AT,2021-W40,STL,ILIcases,unk,0,0,2021-10-13 18:01:00
304674982,INFLCLIN,AT,2021-W40,STL,ILIcases,total,166,23337,-
306371412,INFLCLIN,AT,2021-W41,STL,ARIcases,0-4,0,0,2021-10-20 17:54:00
306371412,INFLCLIN,AT,2021-W41,STL,ARIcases,5-14,0,0,2021-10-20 17:54:00
306371412,INFLCLIN,AT,2021-W41,STL,ARIcases,15-64,0,0,2021-10-20 17:54:00
306371412,INFLCLIN,AT,2021-W41,STL,ARIcases,65+,0,0,2021-10-20 17:54:00
306371412,INFLCLIN,AT,2021-W41,STL,ARIcases,unk,0,0,2021-10-20 17:54:00
306371412,INFLCLIN,AT,2021-W41,STL,ARIcases,total,0,0,-
306371412,INFLCLIN,AT,2021-W41,STL,ILIcases,0-4,4,1299,2021-10-20 17:54:00
306371412,INFLCLIN,AT,2021-W41,STL,ILIcases,5-14,11,2550,2021-10-20 17:54:00
306371412,INFLCLIN,AT,2021-W41,STL,ILIcases,15-64,278,14225,2021-10-20 17:54:00
306371412,INFLCLIN,AT,2021-W41,STL,ILIcases,65+,10,4116,2021-10-20 17:54:00
306371412,INFLCLIN,AT,2021-W41,STL,ILIcases,unk,0,0,2021-10-20 17:54:00
306371412,INFLCLIN,AT,2021-W41,STL,ILIcases,total,303,22190,-
309990775,INFLCLIN,AT,2021-W42,STL,ARIcases,0-4,0,0,2021-10-27 14:52:00
309990775,INFLCLIN,AT,2021-W42,STL,ARIcases,5-14,0,0,2021-10-27 14:52:00
309990775,INFLCLIN,AT,2021-W42,STL,ARIcases,15-64,0,0,2021-10-27 14:52:00
309990775,INFLCLIN,AT,2021-W42,STL,ARIcases,65+,0,0,2021-10-27 14:52:00
309990775,INFLCLIN,AT,2021-W42,STL,ARIcases,unk,0,0,2021-10-27 14:52:00
309990775,INFLCLIN,AT,2021-W42,STL,ARIcases,total,0,0,-
309990775,INFLCLIN,AT,2021-W42,STL,ILIcases,0-4,75,2597,2021-10-27 14:52:00
309990775,INFLCLIN,AT,2021-W42,STL,ILIcases,5-14,95,5100,2021-10-27 14:52:00
309990775,INFLCLIN,AT,2021-W42,STL,ILIcases,15-64,458,24004,2021-10-27 14:52:00
309990775,INFLCLIN,AT,2021-W42,STL,ILIcases,65+,25,6946,2021-10-27 14:52:00
309990775,INFLCLIN,AT,2021-W42,STL,ILIcases,unk,0,0,2021-10-27 14:52:00
309990775,INFLCLIN,AT,2021-W42,STL,ILIcases,total,653,38647,-
311568764,INFLCLIN,AT,2021-W43,STL,ARIcases,0-4,0,0,2021-11-03 18:49:00
311568764,INFLCLIN,AT,2021-W43,STL,ARIcases,5-14,0,0,2021-11-03 18:49:00
311568764,INFLCLIN,AT,2021-W43,STL,ARIcases,15-64,0,0,2021-11-03 18:49:00
311568764,INFLCLIN,AT,2021-W43,STL,ARIcases,65+,0,0,2021-11-03 18:49:00
311568764,INFLCLIN,AT,2021-W43,STL,ARIcases,unk,0,0,2021-11-03 18:49:00
311568764,INFLCLIN,AT,2021-W43,STL,ARIcases,total,0,0,-
311568764,INFLCLIN,AT,2021-W43,STL,ILIcases,0-4,15,1299,2021-11-03 18:49:00
311568764,INFLCLIN,AT,2021-W43,STL,ILIcases,5-14,23,2550,2021-11-03 18:49:00
311568764,INFLCLIN,AT,2021-W43,STL,ILIcases,15-64,283,13336,2021-11-03 18:49:00
311568764,INFLCLIN,AT,2021-W43,STL,ILIcases,65+,7,3859,2021-11-03 18:49:00
311568764,INFLCLIN,AT,2021-W43,STL,ILIcases,unk,0,0,2021-11-03 18:49:00
311568764,INFLCLIN,AT,2021-W43,STL,ILIcases,total,328,21044,-
316468727,INFLCLIN,AT,2021-W44,STL,ARIcases,0-4,0,0,2021-11-10 17:21:00
316468727,INFLCLIN,AT,2021-W44,STL,ARIcases,5-14,0,0,2021-11-10 17:21:00
316468727,INFLCLIN,AT,2021-W44,STL,ARIcases,15-64,0,0,2021-11-10 17:21:00
316468727,INFLCLIN,AT,2021-W44,STL,ARIcases,65+,0,0,2021-11-10 17:21:00
316468727,INFLCLIN,AT,2021-W44,STL,ARIcases,unk,0,0,2021-11-10 17:21:00
316468727,INFLCLIN,AT,2021-W44,STL,ARIcases,total,0,0,-
316468727,INFLCLIN,AT,2021-W44,STL,ILIcases,0-4,29,1948,2021-11-10 17:21:00
316468727,INFLCLIN,AT,2021-W44,STL,ILIcases,5-14,44,3825,2021-11-10 17:21:00
316468727,INFLCLIN,AT,2021-W44,STL,ILIcases,15-64,391,23115,2021-11-10 17:21:00
316468727,INFLCLIN,AT,2021-W44,STL,ILIcases,65+,30,6689,2021-11-10 17:21:00
316468727,INFLCLIN,AT,2021-W44,STL,ILIcases,unk,0,0,2021-11-10 17:21:00
316468727,INFLCLIN,AT,2021-W44,STL,ILIcases,total,494,35577,-
319238315,INFLCLIN,AT,2021-W45,STL,ARIcases,0-4,0,0,2021-11-17 16:47:00
319238315,INFLCLIN,AT,2021-W45,STL,ARIcases,5-14,0,0,2021-11-17 16:47:00
319238315,INFLCLIN,AT,2021-W45,STL,ARIcases,15-64,0,0,2021-11-17 16:47:00
319238315,INFLCLIN,AT,2021-W45,STL,ARIcases,65+,0,0,2021-11-17 16:47:00
319238315,INFLCLIN,AT,2021-W45,STL,ARIcases,unk,0,0,2021-11-17 16:47:00
319238315,INFLCLIN,AT,2021-W45,STL,ARIcases,total,0,0,-
319238315,INFLCLIN,AT,2021-W45,STL,ILIcases,0-4,42,3896,2021-11-17 16:47:00
319238315,INFLCLIN,AT,2021-W45,STL,ILIcases,5-14,40,7650,2021-11-17 16:47:00
319238315,INFLCLIN,AT,2021-W45,STL,ILIcases,15-64,362,21337,2021-11-17 16:47:00
319238315,INFLCLIN,AT,2021-W45,STL,ILIcases,65+,9,6175,2021-11-17 16:47:00
319238315,INFLCLIN,AT,2021-W45,STL,ILIcases,unk,0,0,2021-11-17 16:47:00
319238315,INFLCLIN,AT,2021-W45,STL,ILIcases,total,453,39058,-
321624368,INFLCLIN,AT,2021-W46,STL,ARIcases,0-4,0,0,2021-11-24 15:30:00
321624368,INFLCLIN,AT,2021-W46,STL,ARIcases,5-14,0,0,2021-11-24 15:30:00
321624368,INFLCLIN,AT,2021-W46,STL,ARIcases,15-64,0,0,2021-11-24 15:30:00
