country_short,season,indicator,indicator_label,source,stream,scenario,agegroup,summary_level,unit,temporal_resolution,n_rows,n_observed,observed_fraction,sum_value,mean_value,max_value,peak_date,first_date,last_date,metric,burden_value,metric_percentile,peak_week
AT,2021/2022,ILIconsultationrate,ILI consultation rate,ERVISS,ili_ari,NA,all_agegroups,all_agegroups,rate,weekly,260,135,0.5192307692307693,118825.9,880.1918518518519,3498.1,2021-12-15,2021-08-04,2022-07-27,ILI consultation rate,118825.9,0.9032258064516129,20
AT,2021/2022,positivity,Influenza positivity,ERVISS,sentinel_plus_nonsentinel_typing,NA,all_agegroups,all_agegroups,proportion,weekly,52,27,0.5192307692307693,0.5219448265269063,0.0193312898713669,0.165625,2022-04-13,2021-08-04,2022-07-27,Influenza positivity (combined),0.0193312898713669,0.010752688172043012,37
AT,2021/2022,ili_plus,ILI+,RespiCompass,ili_plus,NA,all_agegroups,all_agegroups,rate,weekly,260,75,0.28846153846153844,4393.43158501899,58.5790878002532,389.84345238095233,2022-04-06,2021-08-04,2022-07-27,ILI+ (RespiCompass),4393.43158501899,0.6774193548387096,36
AT,2022/2023,ILIconsultationrate,ILI consultation rate,ERVISS,ili_ari,NA,all_agegroups,all_agegroups,rate,weekly,260,130,0.5,375737.2,2890.286153846154,10576.2,2023-03-01,2022-08-03,2023-07-26,ILI consultation rate,375737.2,1,31
AT,2022/2023,positivity,Influenza positivity,ERVISS,sentinel_plus_nonsentinel_typing,NA,all_agegroups,all_agegroups,proportion,weekly,52,21,0.40384615384615385,3.0529801456387684,0.14538000693517944,0.47685185185185186,2022-12-28,2022-08-03,2023-07-26,Influenza positivity (combined),0.14538000693517944,0.7096774193548387,22
AT,2022/2023,ili_plus,ILI+,RespiCompass,ili_plus,NA,all_agegroups,all_agegroups,rate,weekly,260,100,0.38461538461538464,98544.10085101503,985.4410085101503,4406.590267639902,2022-12-14,2022-08-03,2023-07-26,ILI+ (RespiCompass),98544.10085101503,1,20
AT,2023/2024,ILIconsultationrate,ILI consultation rate,ERVISS,ili_ari,NA,all_agegroups,all_agegroups,rate,weekly,265,135,0.5094339622641509,258202.6,1912.611851851852,4945.2,2024-02-07,2023-08-02,2024-07-31,ILI consultation rate,258202.6,0.989247311827957,28
AT,2023/2024,positivity,Influenza positivity,ERVISS,sentinel_plus_nonsentinel_typing,NA,all_agegroups,all_agegroups,proportion,weekly,53,44,0.8301886792452831,2.9461394489780783,0.06695771474950178,0.3403076923076923,2024-01-24,2023-08-02,2024-07-31,Influenza positivity (combined),0.06695771474950178,0.3548387096774194,26
AT,2023/2024,ili_plus,ILI+,RespiCompass,ili_plus,NA,all_agegroups,all_agegroups,rate,weekly,265,130,0.49056603773584906,36950.813057836,284.2370235218154,1682.2381231671552,2024-02-07,2023-08-02,2024-07-31,ILI+ (RespiCompass),36950.813057836,0.9354838709677419,28
AT,2024/2025,ILIconsultationrate,ILI consultation rate,ERVISS,ili_ari,NA,all_agegroups,all_agegroups,rate,weekly,260,131,0.5038461538461538,254966.1,1946.306106870229,4628.9,2024-12-18,2024-08-07,2025-07-30,ILI consultation rate,254966.1,0.978494623655914,20
