country_short,season,vaccine_coverage
AT,2013/2014,0.203
AT,2018/2019,0.183
BE,2012/2013,0.564
BE,2013/2014,0.5609000000000001
BE,2014/2015,0.5579
BE,2015/2016,0.5466
BE,2016/2017,0.5288
BE,2017/2018,0.5318999999999999
BE,2018/2019,0.551
BE,2019/2020,0.6206
BE,2020/2021,0.5733
BE,2021/2022,0.56
BG,2013/2014,0.024
BG,2018/2019,0.035
BG,2019/2020,0.057999999999999996
BG,2020/2021,0.08900000000000001
BG,2021/2022,0.10400000000000001
CY,2013/2014,0.324
CY,2017/2018,NA
CY,2018/2019,0.259
CY,2019/2020,0.38
CY,2020/2021,0.433
CY,2021/2022,0.42200000000000004
CZ,2012/2013,0.1959
CZ,2013/2014,0.1882
CZ,2014/2015,0.1934
CZ,2015/2016,0.2024
CZ,2016/2017,0.2026
CZ,2017/2018,0.2145
CZ,2018/2019,0.2285
CZ,2019/2020,0.23850000000000002
CZ,2020/2021,0.2535
CZ,2021/2022,0.2463
DE,2012/2013,0.586
DE,2013/2014,0.37200000000000005
DE,2014/2015,0.381
DE,2015/2016,0.365
DE,2016/2017,0.353
DE,2017/2018,0.348
DE,2018/2019,0.38
DE,2019/2020,0.38799999999999996
DE,2020/2021,0.473
DE,2021/2022,0.433
DK,2012/2013,0.45
DK,2013/2014,0.47
DK,2014/2015,0.45
DK,2015/2016,0.44
DK,2016/2017,0.47
DK,2017/2018,0.5
DK,2018/2019,0.52
DK,2019/2020,0.52
DK,2020/2021,0.75
DK,2021/2022,0.78
EE,2012/2013,0.011000000000000001
EE,2013/2014,0.013999999999999999
EE,2014/2015,0.016
EE,2015/2016,0.027999999999999997
EE,2016/2017,0.048
EE,2017/2018,0.102
EE,2018/2019,0.15
EE,2019/2020,0.12
EE,2020/2021,0.21100000000000002
EE,2021/2022,0.315
ES,2012/2013,0.57
ES,2013/2014,0.562
ES,2014/2015,0.562
ES,2015/2016,0.561
ES,2016/2017,0.555
ES,2017/2018,0.557
ES,2018/2019,0.5429999999999999
ES,2019/2020,0.547
ES,2020/2021,0.677
ES,2021/2022,0.69
FI,2012/2013,0.41
FI,2013/2014,0.4
FI,2014/2015,0.431
FI,2015/2016,0.474
FI,2016/2017,0.47700000000000004
FI,2017/2018,0.496
FI,2018/2019,0.473
FI,2019/2020,0.537
