RelativeWeek,Intensity
1,414.335524829894
2,417.405939042749
3,399.438333785229
4,337.705198204549
5,343.7548368499
6,354.836410343573
7,365.384506041104
8,373.6461303853
9,414.439344941372
10,457.104901829064
11,474.282987868524
12,502.341185770002
13,476.539918588149
14,458.789577646689
15,437.389991989322
16,443.911938146306
17,441.773498064329
18,450.705201761099
19,492.192813539291
20,480.505930148403
21,480.621800616203
22,453.010377909262
23,440.411227400256
24,177.964471327042
25,378.391991860659
26,235.619043853956
27,231.491682313676
28,348.567105182618
29,194.711055665554
30,317.587593326831
31,187.540704705855
32,327.818499345355
33,301.589715699899
