RelativeWeek,Intensity
1,79.6115227607917
2,80.5195142176992
3,102.133647631565
4,110.31410288985
5,99.3371078176559
6,100.707242923937
7,102.851355080829
8,72.6087869546923
9,109.509650760867
10,117.931203081219
11,128.081882776874
12,151.07251668779
13,144.213393999871
14,105.313695650641
15,136.953603364186
16,163.362251755446
17,167.916443154825
18,173.152895998821
19,175.798462668744
20,175.168878033276
21,176.754389317177
22,190.044603724974
23,154.558781725346
24,169.735876820621
25,158.076350700114
26,157.325824258064
27,130.773848888791
28,97.5745765284663
29,113.166022564046
30,89.4751456248944
31,93.9063655333669
32,85.6766668535429
33,93.3680361624506
