RelativeWeek,Intensity
1,894.772550583156
2,908.18529994908
3,990.607090911957
4,1070.76654187318
5,1121.41431994778
6,932.584238411959
7,927.41739355411
8,950.230913318582
9,1053.76933457383
10,1322.86785283716
11,1405.70021419494
12,1260.71913870656
13,1257.60332890667
14,1212.10101204294
15,1124.07701582317
16,1196.49769571304
17,1382.04762918144
18,1480.27090673117
19,1409.31325592825
20,1476.29977477626
21,1564.50397159015
22,1398.12045864515
23,1175.37869911983
24,1261.10034270976
25,1057.98840790376
26,1071.48644386379
27,993.978227698871
28,1052.80057601398
29,1004.70841579237
30,918.319529280697
31,914.296805086368
32,784.665533904541
33,949.800178738857
