RelativeWeek,Intensity
1,482.467215841997
2,586.824328067183
3,613.230040388675
4,632.138123966636
5,625.243275606814
6,1011.47475678591
7,1030.08566724686
8,1047.60869172225
9,1076.33602622812
10,1115.11007524377
11,1186.77460792898
12,1165.0231310436
13,664.964146608878
14,1002.01305074303
15,1550.87078843912
16,1617.81427398959
17,1741.27754165026
18,1534.05539791974
19,1340.70636106301
20,1150.03882099152
21,1122.39968219776
22,1027.52220728214
23,855.421227378917
24,1015.21999977038
25,1005.79202359465
26,832.078499969259
27,582.17072716038
28,569.989339091134
29,544.647938684704
30,507.233226989423
31,462.119999213869
32,450.448668509421
33,458.055171045458
