RelativeWeek,Intensity
1,765.966607372157
2,905.784261364414
3,1119.25631648721
4,1155.30438948053
5,1112.54317157482
6,1021.82126051232
7,997.798189977882
8,831.819102183247
9,802.264900234736
10,942.281546731554
11,1064.99578446387
12,1169.574914221
13,1327.49332290536
14,1338.79021654826
15,1282.47252376268
16,1259.85049026147
17,1375.22568980363
18,1316.52638441425
19,1635.6443206779
20,1583.13317772819
21,1371.20352127076
22,1135.40677868914
23,887.553424525771
24,861.562055632799
25,789.16195543017
26,614.914011308076
27,765.82826840034
28,786.607902496784
29,1007.60025055281
30,831.538901297719
31,843.05484987475
32,753.979984377202
33,741.708913485577
