RelativeWeek,Intensity
1,4.09919575558068
2,5.44036612866862
3,4.26518913732043
4,5.80133715286967
5,5.43083056406054
6,6.25490061695968
7,5.4233076402492
8,6.30513535612247
9,6.78164310169392
10,7.14308156338266
11,6.54377843133836
12,8.05526316770965
13,8.21714653059667
14,7.9958732459906
15,7.92034482994102
16,9.55376743528815
17,10.7639896581133
18,10.0856048342179
19,9.90012164315938
20,9.77165222847972
21,9.71344731218452
22,9.36936649324779
23,8.64343817697813
24,7.38484837691161
25,3.1039557624472
26,5.59660678832471
27,4.17866203370375
28,4.37482475936105
29,4.71010005070816
30,4.23863286755934
31,3.47133596125062
32,1.86208644527752
33,3.44301425648494
