RelativeWeek,Intensity
1,716.044378426244
2,720.513595384514
3,775.728816154195
4,772.39160982971
5,805.470532379986
6,831.134791484589
7,800.680487029268
8,739.291620770596
9,794.923904972437
10,847.745661618255
11,913.742032076996
12,932.151967738074
13,810.157759264496
14,956.997238702017
15,1002.69040164018
16,1021.61611805317
17,1071.1569615958
18,1078.54859944842
19,1037.90879552042
20,917.427481778417
21,717.722096393347
22,757.397345835091
23,709.774052640993
24,663.818768897718
25,668.036332858909
26,634.460539079185
27,610.829807463334
28,592.103921816389
29,586.687683380645
30,596.78588666551
31,558.302782351758
32,551.511783620371
33,568.021403597368
