RelativeWeek,Intensity
1,1182.67113611705
2,1210.54079615101
3,1222.477374123
4,1107.57561027456
5,1135.39927261086
6,1322.09891995667
7,1347.808064746
8,1373.54401556534
9,1266.27034275993
10,1314.27193579514
11,1182.01309995954
12,853.613103608923
13,995.361409454569
14,1278.51911939111
15,1365.39333604837
16,1419.18543885656
17,1450.26556305321
18,1717.7554843807
19,1670.78284940583
20,1674.83326589388
21,1780.67551853218
22,1831.96301193977
23,1846.59485874181
24,1710.35948623017
25,1483.89405506927
26,1135.8976560192
27,1059.93920400075
28,926.032769797708
29,824.72069858005
30,789.088247737708
31,752.31529967212
32,677.114251942626
33,586.581696799261
