RelativeWeek,Intensity
1,245.637212768362
2,241.110127981847
3,253.146326477736
4,234.311098267197
5,239.282311430714
6,236.35039406808
7,241.012821165558
8,259.962525614638
9,271.976410858675
10,261.860320715745
11,213.782176865094
12,254.58299393258
13,217.19285294545
14,246.093564656486
15,292.101879159007
16,349.01998745724
17,431.446344122661
18,471.568875606085
19,489.788405693598
20,479.610375525692
21,471.498806085119
22,450.183913068286
23,389.93651775837
24,368.374951933122
25,312.568119730409
26,343.524587301915
27,290.283242365132
28,272.564634182713
29,240.180399469824
30,240.767449624483
31,198.392857296827
32,174.841479938686
33,183.503794772554
