RelativeWeek,Intensity
1,181.133654435658
2,178.803126053807
3,209.863649166561
4,207.14850398261
5,201.615348212991
6,192.944036220185
7,229.20609389999
8,233.965411200017
9,248.526402623224
10,241.674699581711
11,246.71954338958
12,249.195108128493
13,248.537764505891
14,252.215833253321
15,261.935589363196
16,261.463439819832
17,255.431192018381
18,253.282043545594
19,223.501967852143
20,226.180308210039
21,227.1393272826
22,219.083037052451
23,207.818431983749
24,212.644159285891
25,229.2258536485
26,234.498140904607
27,241.116459762707
28,218.879386146802
29,207.425826067863
30,208.23973618026
31,226.553716584375
32,219.851983244732
33,222.018632368317
