RelativeWeek,Intensity
1,2352.89085774352
2,4705.91081290702
3,2360.31923426725
4,3389.43611761646
5,2846.05857412504
6,2652.96073622068
7,1938.16745599157
8,3593.58305674034
9,4181.39932727099
10,4324.24313931401
11,4486.36624190719
12,4746.20798754023
13,4196.63613975967
14,4776.90550660757
15,5117.13581641643
16,5335.62531974616
17,5444.50709278492
18,5488.85377987111
19,4994.94633716809
20,4897.49028854208
21,4501.01038977946
22,4791.88735848871
23,4749.10788340497
24,4588.54590041866
25,4243.20126821542
26,4246.33115037703
27,3795.82434324892
28,3873.42047830761
29,3698.75433451514
30,3578.64498931237
31,3119.42458954544
32,3160.80821864848
33,2589.14794182801
