RelativeWeek,Intensity
1,784.669764838389
2,871.09018903481
3,899.878700739447
4,870.419881691171
5,751.002829300107
6,793.015064801289
7,539.234094630519
8,643.658381075478
9,729.423011280411
10,771.129227004892
11,823.499749462242
12,822.523539075909
13,679.922896406531
14,583.786465813445
15,538.955713780141
16,516.933629690736
17,619.103843960432
18,715.839230772729
19,762.404332459404
20,911.390685007423
21,880.746767832286
22,802.706924866943
23,704.448034870086
24,543.659796203611
25,492.928753512544
26,461.461869407547
27,413.724895185507
28,574.969491962219
29,305.510914407009
30,88.2477743443191
31,116.456675968552
32,100.570196712211
33,80.5033083169309
