RelativeWeek,Intensity
1,541.920996461322
2,573.970748793304
3,619.138453167719
4,649.430504261906
5,587.600773472459
6,644.799862435549
7,560.381635423816
8,596.205038181013
9,581.484901111849
10,563.359376045007
11,602.160895347668
12,683.446985531817
13,751.109261057249
14,754.459838659184
15,624.220394779491
16,665.151612662266
17,748.6682978148
18,691.501656025788
19,744.927181012615
20,730.375548564387
21,707.70959793776
22,596.933446385126
23,535.887164138786
24,460.216182594061
25,449.545833518381
26,422.33283347291
27,404.428261290433
28,376.012158786135
29,342.048584411234
30,326.384531319222
31,314.620426143527
32,283.43345184877
33,301.849972948464
