RelativeWeek,Intensity
1,1397.25968525986
2,1322.47935768632
3,1280.96985822013
4,1346.12193281062
5,1141.30521890969
6,1238.02478519071
7,1017.49497271341
8,1186.26568865314
9,1170.47868584307
10,1083.80698517493
11,1018.14147354847
12,963.950076221789
13,1096.0639053778
14,1216.25225047933
15,1229.81299590357
16,1468.12291545338
17,1380.09719618531
18,1311.02586116445
19,1276.78265802052
20,1403.64948548626
21,1347.38920397744
22,1386.59586420181
23,1318.12964866294
24,1182.57669432827
25,1144.04488278951
26,1052.08516742291
27,1073.02738081494
28,931.565198772602
29,915.774106121975
30,766.664218768587
31,707.521221905072
32,681.790295113106
33,681.190425834032
