RelativeWeek,Intensity
1,151.575942697904
2,153.281462583788
3,172.077875735835
4,157.931492625224
5,154.994845477741
6,168.954573301729
7,156.431427816983
8,176.689439344408
9,168.245140728043
10,187.84106798143
11,166.477197211605
12,148.062306161086
13,153.593304820927
14,169.457604786516
15,223.059906626762
16,277.96754699922
17,317.689983902437
18,254.458768850505
19,242.910232704148
20,234.118363251088
21,238.244366339947
22,242.925907108652
23,236.07403792952
24,266.750688374241
25,255.340393461863
26,217.579364290046
27,222.371382034724
28,177.095900953718
29,169.789331985342
30,172.730678800326
31,156.893071496184
32,169.686843450736
33,179.419636612031
