RelativeWeek,Intensity
1,205.936583906104
2,206.877440361637
3,207.095325897757
4,214.020737912975
5,138.586484350993
6,137.948273665302
7,138.836646255996
8,138.476669391246
9,149.147742230798
10,150.667384941481
11,158.812976989092
12,158.754013695933
13,145.871058080249
14,163.602376103
15,151.624067506332
16,150.672463123195
17,129.605733352056
18,133.804845682914
19,120.236245640375
20,118.323405494676
21,113.587941247506
22,105.833872901313
23,109.754398575594
24,91.0469118917401
25,106.669139586261
26,104.424384176932
27,101.845246662778
28,98.4402505599912
29,84.4728983545504
30,109.826794120745
31,79.6396410828056
32,89.4063388004967
33,40.5566935286009
