RelativeWeek,Intensity
1,806.427095765252
2,780.446619540827
3,741.550731094729
4,724.871865303961
5,689.658321191925
6,713.137172904367
7,717.29423471801
8,734.423941066171
9,615.393780539168
10,727.56071287009
11,774.196324170314
12,711.690102160952
13,564.802868236722
14,407.864934678028
15,716.408569807096
16,807.713067777376
17,864.05089207841
18,923.074454681083
19,899.082824799113
20,904.154690457945
21,951.654126662965
22,960.591899834258
23,921.94069881008
24,906.436090134919
25,835.052075388578
26,793.519073439538
27,724.208886503613
28,642.68596079423
29,608.508199083073
30,567.014926803608
31,466.4725237217
32,572.070518566638
33,608.299779956532
