RelativeWeek,Intensity
1,608.313801644287
2,628.523589746792
3,709.362420618844
4,719.596307394453
5,685.328918906215
6,673.339275737466
7,525.983559943423
8,538.402972978428
9,630.500157869089
10,722.888658416574
11,825.381967370205
12,909.411820824067
13,909.691027270523
14,775.375153090643
15,783.857098252848
16,675.857963496212
17,773.206678292926
18,864.011753291137
19,942.109925153241
20,903.630751283574
21,799.331861099019
22,755.967710618542
23,580.734103286939
24,556.886310261522
25,474.160485331168
26,480.890023693489
27,508.374673098217
28,565.295633389223
29,564.242355006879
30,515.850951511727
31,494.367181073121
32,453.231932786696
33,444.717126541561
