RelativeWeek,Intensity
1,306.015573996121
2,278.342139353827
3,270.465062674619
4,262.973351311922
5,260.690349225113
6,289.375529628676
7,321.141935977047
8,343.344338587824
9,375.186324231305
10,410.973764283822
11,449.061038399756
12,469.581675965409
13,437.946353053825
14,422.137918203074
15,399.117363222106
16,433.306725537361
17,396.629495568188
18,377.756439149615
19,386.958461401091
20,379.711950477111
21,384.194360835923
22,361.408889329117
23,354.311457171137
24,343.325844541687
25,322.253854203601
26,292.679104074227
27,278.632884438773
28,279.717616883248
29,264.114266719442
30,241.032459459893
31,241.285395742678
32,196.224902492866
33,225.609223770658
