RelativeWeek,Intensity
1,1028.53807554103
2,980.622539725417
3,1027.86438716611
4,943.545440558237
5,989.99091610161
6,900.245307792079
7,980.027792630949
8,1098.16358269131
9,1018.09272956651
10,916.691860507052
11,805.891460753943
12,899.974189239601
13,887.426047159089
14,1173.32135465577
15,1321.21805586647
16,1596.31018623423
17,1894.03561747928
18,1731.25674007094
19,1459.72114354656
20,1473.91330786555
21,1283.3085447
22,1241.99931664096
23,1393.3174692868
24,1319.34492130256
25,1477.20131356132
26,1391.6194592936
27,1231.36361549809
28,996.441299657448
29,971.697399387767
30,755.662518113242
31,870.229208621103
32,921.438358599366
33,931.714695775081
