RelativeWeek,Intensity
1,1642.5706887418
2,1588.7956989244
3,1552.02273477537
4,1534.90804580377
5,1315.55113293098
6,1515.44577155879
7,1419.88613157163
8,1461.73093555742
9,1455.35520284576
10,1394.1485823923
11,1356.29029505256
12,1283.58282074822
13,1045.86803960503
14,1239.74307889934
15,1452.68074716014
16,1691.12256108282
17,1702.11766009541
18,1993.22260990342
19,2076.09544421511
20,2061.41817625123
21,2028.89713186678
22,1874.21757016375
23,1617.53420008425
24,1496.31915422381
25,1399.40230750308
26,1238.5429147268
27,1070.02535475225
28,1106.6658049418
29,1075.36961401415
30,1033.65593926889
31,977.689898624726
32,853.873939401029
33,896.106176134108
