RelativeWeek,Intensity
1,17.3132403806048
2,19.2445861315684
3,20.7905892811896
4,22.6264829624601
5,28.8317416655486
6,23.2133629633212
7,31.4992787060719
8,30.7996194215989
9,29.6835567387654
10,33.6306320785065
11,35.8069892478692
12,34.0507642614969
13,33.4914901038592
14,32.3261292956959
15,33.7006085868467
16,37.2997375395554
17,37.3955033358896
18,32.7299293933369
19,32.743621297621
20,30.4775805431003
21,31.401032553431
22,28.9574314300721
23,26.5628105970586
24,25.2816403959486
25,17.4442799351845
26,21.4237150248863
27,15.8232476757431
28,19.5240232836489
29,17.61024744866
30,18.7943109694719
31,18.3420295610937
32,16.3570628483605
33,12.7292651176269
