RelativeWeek,Intensity
1,454.560835504968
2,437.084831365319
3,437.568965527837
4,414.680641506792
5,428.688358036428
6,407.604199503655
7,391.370193037198
8,392.286377816249
9,424.812383094897
10,470.951971413734
11,517.287789895642
12,561.190404972275
13,550.364539101179
14,537.691313114045
15,540.062673773967
16,569.51760301165
17,594.208293857378
18,607.857277257833
19,570.056203883401
20,514.048218139952
21,400.342753841378
22,329.911806623869
23,299.558036519789
24,253.712716115477
25,244.497657369901
26,228.034699359449
27,217.610488926794
28,208.863295001836
29,205.562641044139
30,193.022413336859
31,166.856578948021
32,154.945048242349
33,154.194103573297
