RelativeWeek,Intensity
1,209.612184554196
2,206.027968384865
3,199.849336333933
4,172.325575523313
5,177.969739565021
6,173.568487786626
7,190.552272930549
8,198.419992290108
9,171.133544075254
10,156.089703469671
11,216.73340991933
12,221.196052543203
13,194.669333454227
14,146.107464265013
15,190.395464856919
16,394.567344067198
17,343.797523499778
18,395.03705196546
19,340.280423574033
20,400.983272975416
21,420.01720820557
22,370.679101408289
23,348.556628896458
24,340.328024593956
25,193.043559271042
26,215.722149898402
27,193.011593873774
28,165.818890415248
29,242.943236554957
30,326.444761067038
31,356.6865661271
32,194.522001982088
33,227.230503929622
