RelativeWeek,Intensity
1,497.118495135108
2,605.67776070668
3,703.173488515602
4,655.598013004594
5,778.727444672025
6,767.918811674515
7,811.855671292133
8,893.479770602417
9,854.501548409834
10,937.817920383329
11,1021.12074475525
12,971.532122942644
13,861.703611029447
14,1250.25398845663
15,985.293659392799
16,993.337908030232
17,1026.93042537135
18,890.452025248226
19,841.459215169514
20,745.500020030784
21,551.630783372332
22,422.188075954936
23,534.553091784082
24,450.322901102229
25,554.484920209069
26,554.192337412241
27,457.418468325888
28,664.437621484963
29,588.622667426322
