RelativeWeek,Intensity
1,100.186606236901
2,90.99150510554
3,299.152605533567
4,406.245588013944
5,414.274817539451
6,356.717282940785
7,502.704618776717
8,377.537910173868
9,371.942698177087
10,386.910438647658
11,484.233289339075
12,459.248624292398
13,395.998896182091
14,397.98880514547
15,422.134415914054
16,468.802896211865
17,395.434649842512
18,235.677929570229
19,284.584245705701
20,212.3758134241
21,280.062783339627
22,379.137267414631
23,316.323265940195
24,253.846712414804
25,330.062441823343
26,295.207385053657
27,140.117779991564
28,197.235396280227
29,137.675754717321
30,219.566368939109
31,174.989626538351
32,223.327923319037
33,178.58816281416
