RelativeWeek,Intensity
1,11.450999191475
2,18.9253573915053
3,13.4471735543228
4,18.6399385387152
5,24.2668850990812
6,30.0723252522659
7,24.8104257258544
8,23.6340791960625
9,28.447248228573
10,32.3672540064665
11,33.0973542253774
12,38.2448363378739
13,45.6255554009161
14,33.3733857498977
15,36.3153699194529
16,57.552044486838
17,70.8293657107895
18,104.171965028589
19,131.393539818211
20,145.14274854201
21,139.570867210969
22,171.729876041246
23,132.702753737202
24,99.5150602018126
25,75.381719605372
26,35.8948945145481
27,34.5870238529177
28,25.8823668314862
29,14.3567770593863
30,12.8786521083708
31,10.8659032947912
32,5.31262036263624
33,6.25360721525878
