RelativeWeek,Intensity
1,61.5604359507704
2,59.8533707206852
3,71.381499205235
4,59.0055164783727
5,60.9557778678265
6,59.7510130623382
7,69.5128672430978
8,63.8803651012212
9,63.0638398819264
10,68.5546324100283
11,56.363572289767
12,68.821462649758
13,63.8847211340988
14,71.0037994454509
15,91.9661398166575
16,124.32626478938
17,157.31633817241
18,174.00149303337
19,185.470813705221
20,172.553136009037
21,161.393433529607
22,154.026003374241
23,119.261805310178
24,113.098635302152
25,101.582841169281
26,90.4620175897074
27,86.1396861837259
28,74.8871749157936
29,59.2805232557571
30,64.5558607468742
31,54.6287543155231
32,51.4511299983687
33,46.0764984014631
