RelativeWeek,Intensity
1,221.026930879034
2,209.775978319333
3,228.532811815148
4,234.273823847534
5,223.863761358584
6,218.617739848909
7,233.763864306345
8,239.218140670232
9,245.274332961466
10,246.310416105386
11,268.434609091783
12,269.773242206598
13,268.297643561612
14,284.958966328728
15,450.423184702784
16,567.407552243637
17,623.390166220151
18,666.629112359381
19,684.235335435913
20,693.264960824752
21,646.196981986942
22,589.697927634513
23,475.539743389961
24,441.658803107281
25,378.566863045941
26,334.932233739148
27,295.659018440594
28,268.212055116216
29,238.065935372348
30,209.767013511712
31,170.673709075307
32,162.360586283794
33,139.428684834048
