RelativeWeek,Intensity
1,5.9769435458204
2,5.20400925300406
3,5.29093575750345
4,5.57380315845009
5,6.85250570257877
6,6.77505301477685
7,7.25254589781188
8,8.85894031664459
9,6.15376798250052
10,6.42203411197201
11,7.40614877468787
12,9.26310130261922
13,8.90894441099888
14,9.62819835559736
15,8.84185132614692
16,8.23075970971853
17,8.43616531980492
18,8.35865990050132
19,6.42073861032997
20,5.74764634757334
21,3.86690757968034
22,3.9937779018214
23,3.82597164568126
24,2.96930691590152
25,2.84725101358973
26,2.24169351221046
27,2.09864156372324
28,1.804617795811
29,1.24723406592978
30,1.56407193496938
31,1.69464559543922
32,1.29336994404065
33,1.67149884905083
