RelativeWeek,Intensity
1,8.0043728835637
2,8.53708263646959
3,8.34184258060558
4,8.4303315433282
5,9.31020106545042
6,12.3667424261083
7,12.4174194310576
8,15.2027840095324
9,17.1847274873332
10,22.9132111017175
11,29.0286206548444
12,33.3088856078389
13,43.1321016233605
14,78.8924276552607
15,145.857148618297
16,200.215422437317
17,233.468760818011
18,235.101056066742
19,221.888791005444
20,180.261863743157
21,143.291241130036
22,110.227498476451
23,69.0326375028683
24,45.1426167850318
25,29.793723130551
26,17.5331379292123
27,14.7697752368986
28,10.226907153618
29,5.5593386342847
30,5.05095691278824
31,3.37232330364226
32,2.60435229560276
33,2.68791269390108
