RelativeWeek,Intensity
1,125.951711948792
2,144.993731520317
3,123.134475793246
4,226.004804308262
5,232.223872669065
6,215.721202062651
7,257.760676182191
8,241.124326219222
9,235.953068678685
10,240.98406936491
11,285.296578218817
12,241.790216819848
13,222.942991323584
14,202.226350447955
15,195.445509978361
16,179.956428488919
17,131.715818409747
18,155.927676496189
19,157.734776819764
20,163.214959813951
21,155.149624864025
22,159.745987036031
23,139.377302480162
24,148.479674160852
25,166.060059643861
26,113.298677745013
27,102.279439252308
28,128.365748495653
29,133.862843247708
30,137.357234375409
31,119.117895427474
32,110.884534808852
33,126.031574978017
