RelativeWeek,Intensity
1,46.2369129634186
2,45.3691537465139
3,47.5570075697429
4,43.6174473728807
5,45.1317972951225
6,48.3261915495783
7,51.783709247002
8,62.7872064865461
9,72.3717542923777
10,78.0154973400249
11,89.4730799584242
12,89.6872502377033
13,81.676498926835
14,90.0196461955828
15,103.907926857067
16,158.450443127049
17,323.606267328547
18,554.326423032197
19,726.484958151103
20,726.288038460162
21,622.046214212773
22,452.827720228082
23,297.104259111646
24,176.428408360751
25,113.992398663828
26,75.546196189164
27,47.2900068280397
28,41.1156739915083
29,24.7234843662638
30,15.9410436925008
31,14.3000405526117
32,10.6285552964626
33,9.34141686772915
