RelativeWeek,Intensity
1,4.61751861627814
2,4.36736908912316
3,4.70070200414976
4,4.66749872690286
5,4.26678844562178
6,5.19069703579952
7,5.4182493252483
8,5.50488994578362
9,6.22883784892857
10,9.20941634240715
11,11.1885767351074
12,12.9042651467792
13,13.7023624805467
14,40.2272786169257
15,50.2031999244197
16,55.119333891507
17,55.6942982698996
18,63.1149681785956
19,63.8719023766276
20,51.8597808554688
21,38.9073269656075
22,26.2716142536322
23,23.1392691253987
24,15.1571894661339
25,13.0621182462161
26,8.70563181261633
27,8.24820700552977
28,6.73571333004354
29,5.93028493368135
30,3.68770422594708
31,2.62200832886316
32,2.16985827977785
33,1.44363230978896
