RelativeWeek,Intensity
1,78.5709333764703
2,91.7452410012468
3,79.873023011926
4,100.003398878999
5,120.252321757098
6,150.180824543
7,191.846305970718
8,232.161752744817
9,242.748375006947
10,306.744043270663
11,402.723314451026
12,532.951297215994
13,617.978674914568
14,633.440830360236
15,641.698192816127
16,627.706403833018
17,579.024500099858
18,522.321267354698
19,442.978006840478
20,379.1589735783
21,310.137786186888
22,263.348730122599
23,219.537357461462
24,198.517835714229
25,176.391832909332
26,156.623589159383
27,151.861886321509
28,133.655965283764
29,134.026948515477
30,160.258697793844
31,229.558376364925
32,197.124834296432
33,180.971320482327
