RelativeWeek,Intensity
1,20.5744951058317
2,24.7926122693687
3,17.3070724543343
4,21.0268608747106
5,13.0777627183334
6,28.0666732080421
7,26.4399165584431
8,31.554567419925
9,31.3146035577841
10,44.2411116608774
11,37.488628515796
12,36.3297292968239
13,41.2176608137861
14,28.7809600070082
15,41.5820384894304
16,38.4200307820819
17,54.0597514273262
18,65.1274343390397
19,48.1938079554939
20,54.1204083678704
21,54.3758619178503
22,38.4401570516918
23,40.5702111430856
24,52.3784876117467
25,12.2639045952361
26,19.1224464727557
27,21.4190602655331
28,15.6524992389643
29,15.4495778819757
30,13.4078721526164
31,19.6342061259281
32,16.3382109355845
33,16.2260936540112
