RelativeWeek,Intensity
1,0.258473091337348
2,0.338291518784901
3,0.353464424862474
4,0.133746541186604
5,0.458640503630088
6,0.151892008430082
7,0.188236696401693
8,0.40940174331931
9,0.301694454253492
10,0.570414604996662
11,0.558330969881879
12,0.492504931599763
13,0.736591736036969
14,0.740835235691008
15,2.54001999029082
16,2.80085438897568
17,4.70823693398249
18,5.4259476785518
19,6.89649664389255
20,6.41747257941841
21,5.29451034522685
22,4.23280371308587
23,3.46552711225357
24,3.70579979118558
25,2.4861270824065
26,1.35435464207299
27,0.561475873737749
28,0.350458945583749
29,0.189297847338171
30,0.31545427469876
31,0.191629740920875
32,0
33,0
