RelativeWeek,Intensity
1,3.90262402610973
2,5.22002037079957
3,4.63653134202371
4,5.6644352328017
5,4.33246735630371
6,2.45808222334616
7,2.30279168549376
8,3.97353107338458
9,8.38193740627462
10,2.98320791616989
11,5.94850564649795
12,5.42158056199996
13,4.94815981033486
14,5.73123052298859
15,4.83690798227079
16,5.36243104184877
17,5.75095993207571
18,6.80179184911605
19,6.20772464358677
20,6.06860211618142
21,6.11590434652492
22,4.55561261839597
23,3.61349845010078
24,4.37055891016796
25,4.02745742664052
26,1.89584461513947
27,1.92230373747429
28,2.45062081907436
29,2.14365593601784
30,1.30336819163217
31,0.996616807865331
32,1.03417249931497
33,0.791251220609165
