RelativeWeek,Intensity
1,5.19734995361451
2,5.36016492200473
3,5.15520606397142
4,5.8953718114386
5,5.00835360345441
6,7.17369147891973
7,4.39927733445524
8,5.21249893655684
9,5.8921262496643
10,6.6846244518852
11,7.12401152482321
12,8.77410992294572
13,8.37911915647908
14,9.75209336618531
15,8.80082405147151
16,7.33434420375425
17,8.14918961316331
18,7.36076968382428
19,5.85608972441734
20,7.15624570402519
21,6.14855353483525
22,5.37504391519022
23,3.76860004430274
24,3.65278935775058
25,2.909048239606
26,2.74104351145684
27,2.88724389845108
28,2.91175445061685
29,1.8218234831854
30,2.09713019704109
31,1.87671277563489
32,1.45156782827684
33,0.620523102707549
