RelativeWeek,Intensity
1,22.3003770214574
2,23.2213708117684
3,24.447355491736
4,25.5850060448075
5,26.4386296515101
6,27.0546996353066
7,29.3959018495275
8,31.354207285727
9,34.3375852530536
10,36.9647646597911
11,42.2239947002641
12,47.6673803339596
13,38.4411535191877
14,56.5092430202412
15,95.6379519589376
16,106.417463332033
17,128.59963729979
18,143.151971395226
19,190.066179270191
20,203.551046784955
21,192.314725113443
22,174.239787311442
23,150.82648240448
24,127.321092655674
25,91.6530400257128
26,87.4056448749885
27,54.129331323794
28,55.9929769314666
29,41.0589707204514
30,38.234505059888
31,29.0544199259046
32,27.3369091041173
33,17.294356758914
