RelativeWeek,Intensity
1,313.459795852633
2,299.765808732692
3,317.30673575717
4,364.291164951262
5,319.669270005456
6,319.398177983206
7,362.266373923684
8,339.738930936986
9,351.410446349126
10,368.586230258395
11,339.851511019674
12,361.664459612808
13,395.124463448931
14,383.646422978713
15,414.922203511576
16,378.268397685603
17,375.812895022115
18,343.419463435281
19,327.313622303398
20,379.056560907979
21,358.201998635272
22,271.580165362395
23,223.851965289255
24,195.564799507568
25,184.663007788605
26,168.118224772871
27,190.367988980009
28,190.185422875064
29,173.908881213203
30,162.846023799152
31,125.08452833437
32,146.732308327989
33,166.178540009095
