RelativeWeek,Intensity
1,0.0205612536731767
2,0.0285128538150292
3,0.0320041109099658
4,0.0466406923007075
5,0.0127374498359094
6,0.075618879870366
7,0.118847155978348
8,0.236154293685297
9,0.499897227159386
10,0.509842677344736
11,0.914657482914686
12,0.602155014388126
13,1.01430968997464
14,0.843492878053859
15,1.20871147248902
16,1.28128114790964
17,1.28115212696179
18,0.993640370975888
19,0.593405687140847
20,0.785429517034899
21,0.382515014583683
22,0.356518331614813
23,0.258673003106217
24,0.18354494456141
25,0.155714624759605
26,0.0934831452147619
27,0.0790298968807804
28,0.0556872252314207
29,0.0646246318093697
30,0.034693029457262
31,0.0515906938308054
32,0.0273917373992983
33,0.0352430044302551
