RelativeWeek,Intensity
1,0.227322745952359
2,0
3,0
4,0.184832497172395
5,0
6,0
7,0.542991188936907
8,0
9,0
10,0.203383696808377
11,0.993889674996624
12,1.25250753347427
13,0.580408170746006
14,5.00983126773203
15,12.1836982825764
16,23.6587835643666
17,38.1477996116175
18,60.8474089550573
19,56.2333470956671
20,60.0561662723056
21,50.7338945535631
22,25.9777346127308
23,19.2313545785141
24,17.6002860308832
25,7.59472738266744
26,3.50309544251867
27,4.86444846676321
28,3.68854127679284
29,1.78932995529338
30,0
31,0.86403503120352
32,0
33,0.564587040205337
