RelativeWeek,Intensity
1,139.554922837821
2,136.806008518978
3,125.933284243926
4,123.009463463631
5,111.444253115489
6,126.537553734455
7,130.822223480815
8,138.498711641237
9,147.734101319562
10,150.083933488498
11,130.308892836008
12,122.866962610991
13,101.976627947071
14,118.010837574818
15,165.595868199054
16,911.915804723188
17,219.536568229452
18,259.257321047042
19,368.397428049524
20,421.94763557705
21,417.417438839963
22,357.241040808583
23,282.761839858891
24,247.616596930247
25,184.806558141963
26,151.515948192285
27,130.294248390521
28,121.249166395228
29,99.7055255566222
30,90.7032674652536
31,84.6299139490164
32,77.1899179059655
33,82.7570876495129
