RelativeWeek,Intensity
1,189.861800691949
2,196.535397474091
3,174.46666448749
4,178.829083671031
5,184.680588000125
6,225.92311674749
7,318.937385868898
8,297.112299655904
9,316.279693120425
10,307.231440504524
11,315.903707763463
12,386.443455218427
13,400.138155903578
14,453.508053069529
15,418.742627407416
16,392.178260166171
17,358.288428561091
18,229.596427498487
19,326.273871106905
20,310.348566505265
21,318.671174774825
22,299.618232419979
23,267.682013029883
24,260.353269901517
25,276.526972952934
26,238.866630676489
27,250.944067636758
28,240.929575517149
29,226.280200536369
30,220.16588431244
31,225.067453927445
32,225.576846645401
33,224.498344154753
