RelativeWeek,Intensity
1,158.641571956036
2,189.70730626408
3,232.216123877404
4,137.356405001183
5,260.762000131854
6,236.527193720954
7,241.406713646007
8,205.410369031829
9,236.041285191635
10,322.634576355941
11,372.699660157552
12,413.847284026795
13,355.910351485601
14,328.833790647476
15,462.913450785266
16,343.762372087874
17,272.531746107504
18,366.684641100524
19,418.940088285521
20,415.737377846919
21,389.271853346352
22,336.057905016704
23,173.965577332913
24,126.768694600016
25,156.593030116277
26,172.316516161623
27,179.486090500279
28,147.426475817355
29,132.181498914471
30,128.239305239255
31,98.7545068901551
32,83.4065020522444
33,104.265377075456
