RelativeWeek,Intensity
1,5.7585701110095
2,22.4615735020421
3,38.5743074178887
4,33.4409153579209
5,32.7191681710828
6,34.073730940368
7,9.7643164064455
8,11.3019169126357
9,17.5045379157795
10,27.1296368572917
11,52.4309265396845
12,35.9994548677141
13,32.3880517965208
14,15.4530097724153
15,26.6201842794647
16,34.500907202453
17,52.0361987846634
18,54.7665776492835
19,46.8431550365681
20,33.5678008114567
21,37.3899801565998
22,40.9609192402323
23,31.629687794492
24,35.0778810607287
25,22.2854046650087
26,22.2406544951967
27,18.0203818641251
28,23.6524446836292
29,8.84314588217404
30,19.3977837354596
31,17.3977342316529
32,9.19439511742142
33,8.74646090160232
