RelativeWeek,Intensity
1,39.3020839449823
2,43.9044201992584
3,43.2690053546287
4,46.7153416564173
5,39.4037033130171
6,44.3061515530082
7,43.1116925472799
8,47.2204538631607
9,53.0626627076806
10,51.0140872946503
11,39.9128170343243
12,50.625604573268
13,57.2062837749218
14,84.4612002523911
15,118.218624096429
16,138.824612291527
17,155.754346072765
18,159.486958095421
19,165.022495819143
20,142.486490006926
21,156.163425342992
22,138.977757454457
23,110.410642931222
24,80.4172936169731
25,66.8498148540566
26,55.7932541973368
27,49.8114714172545
28,35.9809302584794
29,36.0672781180675
30,32.765082748198
31,23.4189526677711
32,22.2132055515838
33,32.7498430584075
