ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
AL,ARI,W40,1,371.704898746931,414.335524829894,461.855433476396
AL,ARI,W41,2,377.207591970887,417.405939042749,461.888152987139
AL,ARI,W42,3,372.671737656471,399.438333785229,428.127401075404
AL,ARI,W43,4,265.660046603791,337.705198204549,429.2884923884
AL,ARI,W44,5,288.639210939865,343.7548368499,409.394785528015
AL,ARI,W45,6,299.177718708651,354.836410343573,420.8497833628
AL,ARI,W46,7,317.192829368601,365.384506041104,420.89803076777
AL,ARI,W47,8,333.022138218591,373.6461303853,419.225675202019
AL,ARI,W48,9,351.213320748109,414.439344941372,489.047426417576
AL,ARI,W49,10,355.443251784787,457.104901829064,587.84317954268
AL,ARI,W50,11,359.588450136102,474.282987868524,625.560560958936
AL,ARI,W51,12,347.74925484319,502.341185770002,725.656959450859
AL,ARI,W52,13,326.233288565749,476.539918588149,696.097859928333
AL,ARI,W01,14,320.827614571779,458.789577646689,656.077803147256
AL,ARI,W02,15,331.116385014939,437.389991989322,577.772691870225
AL,ARI,W03,16,331.583364348809,443.911938146306,594.293411600455
AL,ARI,W04,17,333.741248018963,441.773498064329,584.77585479906
AL,ARI,W05,18,327.624343722552,450.705201761099,620.02468005411
AL,ARI,W06,19,357.358104799066,492.192813539291,677.901976886564
AL,ARI,W07,20,373.43735056183,480.505930148403,618.272244488716
AL,ARI,W08,21,371.72638983492,480.621800616203,621.417584396268
AL,ARI,W09,22,373.669787424568,453.010377909262,549.19720405525
AL,ARI,W10,23,374.10125037087,440.411227400256,518.474741872457
AL,ARI,W11,24,67.3535977004368,177.964471327042,470.225112481384
AL,ARI,W12,25,335.632504212479,378.391991860659,426.599026337549
AL,ARI,W13,26,92.4778979818946,235.619043853956,600.320022818008
AL,ARI,W14,27,90.5680799889205,231.491682313676,591.691896162221
AL,ARI,W15,28,273.967019518046,348.567105182618,443.480485458167
AL,ARI,W16,29,59.1776058502881,194.711055665554,640.654427526319
AL,ARI,W17,30,256.916413002736,317.587593326831,392.586360117265
AL,ARI,W18,31,58.0573595503547,187.540704705855,605.806330049569
AL,ARI,W19,32,254.983652837314,327.818499345355,421.45826729373
AL,ARI,W20,33,233.559877203354,301.589715699899,389.43485373026
