ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
AT,ILI,W40,1,416.664289419805,497.118495135108,593.107699605148
AT,ILI,W41,2,480.793259509913,605.67776070668,763.000609011438
AT,ILI,W42,3,610.647372130925,703.173488515602,809.719287296283
AT,ILI,W43,4,602.493380426852,655.598013004594,713.383364230596
AT,ILI,W44,5,563.252313841912,778.727444672025,1076.63371846462
AT,ILI,W45,6,467.683236640939,767.918811674515,1260.89467212685
AT,ILI,W46,7,556.142211308553,811.855671292133,1185.14584508587
AT,ILI,W47,8,704.460503096282,893.479770602417,1133.21626544993
AT,ILI,W48,9,696.324149869205,854.501548409834,1048.61061672492
AT,ILI,W49,10,740.919761571128,937.817920383329,1187.04142797746
AT,ILI,W50,11,869.50090895412,1021.12074475525,1199.17939663078
AT,ILI,W51,12,764.766452314446,971.532122942644,1234.19988292236
AT,ILI,W52,13,602.203920855477,861.703611029447,1233.02603577599
AT,ILI,W01,14,868.693914134155,1250.25398845663,1799.40829585495
AT,ILI,W02,15,588.944546216711,985.293659392799,1648.37861472009
AT,ILI,W03,16,640.580781073086,993.337908030232,1540.3524874364
AT,ILI,W04,17,682.2379519299,1026.93042537135,1545.77460191154
AT,ILI,W05,18,544.394254414212,890.452025248226,1456.49003978167
AT,ILI,W06,19,538.791586378071,841.459215169514,1314.15120186538
AT,ILI,W07,20,495.900753470178,745.500020030784,1120.72884740902
AT,ILI,W08,21,313.685184856118,551.630783372332,970.069789249207
AT,ILI,W09,22,192.181873348558,422.188075954936,927.469216387826
AT,ILI,W10,23,317.552737107199,534.553091784082,899.841111555144
AT,ILI,W11,24,304.446534766931,450.322901102229,666.096316098242
AT,ILI,W12,25,307.031167411569,554.484920209069,1001.3756236256
AT,ILI,W13,26,285.589736558707,554.192337412241,1075.42081360234
AT,ILI,W14,27,137.66094391283,457.418468325888,1519.9057134033
AT,ILI,W15,28,156.996583741437,664.437621484963,2812.01884986032
AT,ILI,W16,29,191.232775752252,588.622667426322,1811.80575999665
