ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
AZ,ILI,W40,1,7.0153605801548,100.186606236901,1430.76837670494
AZ,ILI,W41,2,6.43043448136218,90.99150510554,1287.54192665651
AZ,ILI,W42,3,70.0087271731722,299.152605533567,1278.30179194882
AZ,ILI,W43,4,71.51295466173,406.245588013944,2307.77036917919
AZ,ILI,W44,5,91.0211799120065,414.274817539451,1885.53504374762
AZ,ILI,W45,6,81.8620084723648,356.717282940785,1554.41116487648
AZ,ILI,W46,7,100.995616796863,502.704618776717,2502.20694476014
AZ,ILI,W47,8,64.9826044359329,377.537910173868,2193.4312244899
AZ,ILI,W48,9,87.3265746578791,371.942698177087,1584.18409595515
AZ,ILI,W49,10,95.3718666014256,386.910438647658,1569.64200103309
AZ,ILI,W50,11,102.62896447126,484.233289339075,2284.7534291336
AZ,ILI,W51,12,103.100937276566,459.248624292398,2045.65840510937
AZ,ILI,W52,13,97.5734417776993,395.998896182091,1607.14968049098
AZ,ILI,W01,14,88.0992856604691,397.98880514547,1797.91570196796
AZ,ILI,W02,15,105.202873304348,422.134415914054,1693.84599015257
AZ,ILI,W03,16,96.3140237081984,468.802896211865,2281.87077057944
AZ,ILI,W04,17,82.1958104234535,395.434649842512,1902.39090642815
AZ,ILI,W05,18,59.730171102743,235.677929570229,929.916748287348
AZ,ILI,W06,19,51.1567023427099,284.584245705701,1583.13943618424
AZ,ILI,W07,20,48.6072464710738,212.3758134241,927.916913672312
AZ,ILI,W08,21,69.4030427897339,280.062783339627,1130.14011287039
AZ,ILI,W09,22,54.7964924799965,379.137267414631,2623.25307765105
AZ,ILI,W10,23,66.3253815920141,316.323265940195,1508.6292181562
AZ,ILI,W11,24,58.512442743555,253.846712414804,1101.27265898333
AZ,ILI,W12,25,62.4527953981772,330.062441823343,1744.37692993271
AZ,ILI,W13,26,52.2972881963559,295.207385053657,1666.38468639165
AZ,ILI,W14,27,33.2335486761433,140.117779991564,590.75822630575
AZ,ILI,W15,28,42.4684693535865,197.235396280227,916.016097070206
AZ,ILI,W16,29,12.3513976838865,137.675754717321,1534.61283670851
AZ,ILI,W17,30,62.36262094113,219.566368939109,773.04945881948
AZ,ILI,W18,31,42.1528837350546,174.989626538351,726.435932319542
AZ,ILI,W19,32,30.5854410249995,223.327923319037,1630.68962429633
AZ,ILI,W20,33,36.8674610831707,178.58816281416,865.091627150204
