ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
BG,ARI,W40,1,387.83961829003,482.467215841997,600.182661556398
BG,ARI,W41,2,526.37417990054,586.824328067183,654.216724833595
BG,ARI,W42,3,558.811146241478,613.230040388675,672.948428041186
BG,ARI,W43,4,591.285532179582,632.138123966636,675.813267913165
BG,ARI,W44,5,572.496092251566,625.243275606814,682.850344277559
BG,ARI,W45,6,936.240788764463,1011.47475678591,1092.7543382993
BG,ARI,W46,7,972.655023080114,1030.08566724686,1090.90731728016
BG,ARI,W47,8,1023.17494922006,1047.60869172225,1072.62591974968
BG,ARI,W48,9,989.303150044383,1076.33602622812,1171.02552569915
BG,ARI,W49,10,1057.422798283,1115.11007524377,1175.94445847893
BG,ARI,W50,11,1120.90790272907,1186.77460792898,1256.51176746624
BG,ARI,W51,12,1042.56190380068,1165.0231310436,1301.86887792335
BG,ARI,W52,13,420.768189207921,664.964146608878,1050.88104951008
BG,ARI,W01,14,647.077971779315,1002.01305074303,1551.63704784834
BG,ARI,W02,15,1268.26840645531,1550.87078843912,1896.44415187797
BG,ARI,W03,16,1345.93384759607,1617.81427398959,1944.61490793115
BG,ARI,W04,17,1315.65622399438,1741.27754165026,2304.58946779438
BG,ARI,W05,18,1230.64381738884,1534.05539791974,1912.27220308142
BG,ARI,W06,19,1196.53500808947,1340.70636106301,1502.24902275523
BG,ARI,W07,20,995.218466418685,1150.03882099152,1328.94367861454
BG,ARI,W08,21,945.850010419205,1122.39968219776,1331.90361338507
BG,ARI,W09,22,784.013214005245,1027.52220728214,1346.6633821951
BG,ARI,W10,23,724.469834558942,855.421227378917,1010.04271171061
BG,ARI,W11,24,884.220971854737,1015.21999977038,1165.62678418703
BG,ARI,W12,25,877.238203089418,1005.79202359465,1153.18460956664
BG,ARI,W13,26,754.547080747447,832.078499969259,917.57644788083
BG,ARI,W14,27,459.929952219871,582.17072716038,736.900812670756
BG,ARI,W15,28,494.861561269835,569.989339091134,656.52269665858
BG,ARI,W16,29,477.155820174312,544.647938684704,621.686594968348
BG,ARI,W17,30,446.777323219849,507.233226989423,575.869752537774
BG,ARI,W18,31,440.916572444738,462.119999213869,484.343086696276
BG,ARI,W19,32,426.381647687093,450.448668509421,475.874147169707
BG,ARI,W20,33,426.122388211033,458.055171045458,492.380934506485
