ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
BY,ILI,W40,1,4.9195181127412,6.43247876019993,8.4107390301624
BY,ILI,W41,2,3.29014223641607,5.5421883372113,9.33572148497129
BY,ILI,W42,3,3.69639049568833,5.24161516919394,7.43279954159924
BY,ILI,W43,4,3.36733120711929,4.88241411672667,7.07918708941167
BY,ILI,W44,5,3.08862962074995,4.39878059834014,6.26467823216547
BY,ILI,W45,6,2.42491113692807,4.14226787326079,7.07588120345933
BY,ILI,W46,7,5.24427761279571,6.066211313021,7.01696637959
BY,ILI,W47,8,4.18400698753709,5.82319050580709,8.10456286710999
BY,ILI,W48,9,5.09675123219066,7.46228468891808,10.9257231207902
BY,ILI,W49,10,6.74399683025378,8.30939621096758,10.238152111979
BY,ILI,W50,11,6.74342679977824,8.90219479628756,11.752047518875
BY,ILI,W51,12,7.24105679351625,10.8316372459143,16.2026578126181
BY,ILI,W52,13,7.09649217869336,11.9589774475082,20.1532162635797
BY,ILI,W01,14,4.64496287020802,7.24963344107109,11.3148773194698
BY,ILI,W02,15,5.65041685087572,8.99385601950516,14.3156599299488
BY,ILI,W03,16,6.32609219796456,9.2527411180467,13.5333497392179
BY,ILI,W04,17,6.48859411270863,9.66608344747356,14.3996014530364
BY,ILI,W05,18,5.02802976913498,8.0076043034942,12.7528534287836
BY,ILI,W06,19,5.22549534287485,7.56947175457978,10.9648748843509
BY,ILI,W07,20,5.91693215649521,7.04545831110315,8.38922629170298
BY,ILI,W08,21,5.36761989171464,6.82333438022283,8.67384297017692
BY,ILI,W09,22,3.22917490931529,4.32720970588565,5.79861554872584
BY,ILI,W10,23,4.57609945273601,4.80397107983863,5.04318981138569
BY,ILI,W11,24,4.06185596349585,4.90262742794271,5.91743181275432
BY,ILI,W12,25,4.23842035808856,4.80117540297136,5.43865008719732
BY,ILI,W13,26,3.07809226066245,4.01761249466032,5.24390069899232
BY,ILI,W14,27,3.25853790860733,4.06613729313043,5.07389293919624
BY,ILI,W15,28,3.39922878394743,4.18373648996708,5.14930065906171
BY,ILI,W16,29,2.89445058984628,3.61717224803802,4.52035184773054
BY,ILI,W17,30,2.71209804515223,3.94644998598034,5.74259013964595
BY,ILI,W18,31,1.61720023168744,2.63174548890852,4.28276238321055
BY,ILI,W19,32,1.79148811197677,3.40069552039308,6.45537636845425
BY,ILI,W20,33,2.45783789911796,3.31340344469989,4.46678863210996
