ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
CH,ILI,W40,1,5.83643056478401,17.7289286597553,53.8539622692014
CH,ILI,W41,2,4.70747857828886,14.0800067814561,42.1131159003407
CH,ILI,W42,3,8.66036377607862,20.321308501438,47.6833987448965
CH,ILI,W43,4,7.75732538075227,17.9076698464239,41.3395885293421
CH,ILI,W44,5,11.5484760898922,27.3048419425686,64.5586818299945
CH,ILI,W45,6,9.329695347317,21.9671150679004,51.7223903291922
CH,ILI,W46,7,13.0326788702152,25.4421800395196,49.6678028830031
CH,ILI,W47,8,14.008877847989,27.5652670045395,54.2401720734993
CH,ILI,W48,9,16.9336252074889,32.4971170084034,62.3648274316841
CH,ILI,W49,10,27.6419735441297,37.2423670179864,50.177093863725
CH,ILI,W50,11,22.9795234210297,41.0273918721222,73.2498604513382
CH,ILI,W51,12,45.8476177401299,68.7506117814652,103.09470487904
CH,ILI,W52,13,42.4977317365091,77.8955303728103,142.777353146327
CH,ILI,W01,14,67.9639186996581,115.857272616111,197.500495481457
CH,ILI,W02,15,104.226176589019,154.794664609805,229.897987010937
CH,ILI,W03,16,103.612539442398,149.696641778808,216.27772739139
CH,ILI,W04,17,92.7699174427134,167.816206149974,303.571241873326
CH,ILI,W05,18,93.070692861223,174.299013109986,326.420111822038
CH,ILI,W06,19,115.818088580477,190.715743052108,314.048479764403
CH,ILI,W07,20,123.753768280643,191.272628012847,295.629124957024
CH,ILI,W08,21,139.488884981749,192.157010843878,264.711534695295
CH,ILI,W09,22,72.923779513031,138.256237734353,262.120084835185
CH,ILI,W10,23,77.0061389943389,113.956607302131,168.637312783164
CH,ILI,W11,24,66.864314406215,95.4614162220834,136.289171107972
CH,ILI,W12,25,63.7734236161277,81.0429061773298,102.988866980108
CH,ILI,W13,26,39.1400540949435,52.7741953862098,71.1576864944
CH,ILI,W14,27,23.3203509498464,35.4693694415691,53.9475658530259
CH,ILI,W15,28,18.3344406992897,29.5834403561246,47.7342045857057
CH,ILI,W16,29,8.65473736836461,17.4430272680403,35.1552204675497
CH,ILI,W17,30,5.9305806373561,13.5413336911896,30.919016087756
CH,ILI,W18,31,1.71087179116779,5.69800358820659,18.9770180669436
CH,ILI,W19,32,2.1453278420037,7.6788639059936,27.485286739065
CH,ILI,W20,33,1.95306058075703,7.54039160936891,29.1120030698701
