ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
DE,ARI,W40,1,967.278893330723,1182.67113611705,1446.02660706064
DE,ARI,W41,2,957.251178942448,1210.54079615101,1530.85109883581
DE,ARI,W42,3,922.537393268828,1222.477374123,1619.93534478574
DE,ARI,W43,4,788.229887969999,1107.57561027456,1556.3019763617
DE,ARI,W44,5,777.244169638594,1135.39927261086,1658.59270304299
DE,ARI,W45,6,1046.28674772475,1322.09891995667,1670.61807669042
DE,ARI,W46,7,1122.5381698616,1347.808064746,1618.28490840389
DE,ARI,W47,8,1217.97240524654,1373.54401556534,1548.98678703109
DE,ARI,W48,9,1145.10261747982,1266.27034275993,1400.25929246607
DE,ARI,W49,10,1240.64632199488,1314.27193579514,1392.26682947104
DE,ARI,W50,11,909.557214479397,1182.01309995954,1536.08255339456
DE,ARI,W51,12,521.387065120304,853.613103608923,1397.53242724717
DE,ARI,W52,13,745.915443250869,995.361409454569,1328.2260669031
DE,ARI,W01,14,1135.62036924729,1278.51911939111,1439.39927718281
DE,ARI,W02,15,1203.44860414922,1365.39333604837,1549.13052015484
DE,ARI,W03,16,1198.40466221384,1419.18543885656,1680.64041585238
DE,ARI,W04,17,1130.5818517187,1450.26556305321,1860.34315001667
DE,ARI,W05,18,1448.52099010589,1717.7554843807,2037.03220338165
DE,ARI,W06,19,1354.86951721434,1670.78284940583,2060.35732179444
DE,ARI,W07,20,1263.59621322532,1674.83326589388,2219.90730835197
DE,ARI,W08,21,1258.70490091782,1780.67551853218,2519.10141923476
DE,ARI,W09,22,1298.5527051953,1831.96301193977,2584.483836265
DE,ARI,W10,23,1317.68463985879,1846.59485874181,2587.80626956168
DE,ARI,W11,24,1308.65852334009,1710.35948623017,2235.36508566895
DE,ARI,W12,25,1168.64220741071,1483.89405506927,1884.18795137362
DE,ARI,W13,26,769.102532334149,1135.8976560192,1677.62220341949
DE,ARI,W14,27,865.999245530342,1059.93920400075,1297.31188794479
DE,ARI,W15,28,731.396687838984,926.032769797708,1172.46455309079
DE,ARI,W16,29,607.810142927118,824.72069858005,1119.04060598726
DE,ARI,W17,30,591.878145875522,789.088247737708,1052.00752394179
DE,ARI,W18,31,544.857876108913,752.31529967212,1038.7631985109
DE,ARI,W19,32,507.298445268879,677.114251942626,903.775113958443
DE,ARI,W20,33,436.025950727601,586.581696799261,789.122955745485
