ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
EE,ILI,W40,1,47.0720481384525,61.5604359507704,80.5082299224019
EE,ILI,W41,2,50.416045293242,59.8533707206852,71.0572589696555
EE,ILI,W42,3,63.1464970536522,71.381499205235,80.6904367863469
EE,ILI,W43,4,54.9165676491041,59.0055164783727,63.3989181029289
EE,ILI,W44,5,57.8456321317431,60.9557778678265,64.2331446393314
EE,ILI,W45,6,50.7736315782852,59.7510130623382,70.3157022847781
EE,ILI,W46,7,60.8730322195074,69.5128672430978,79.3789718726721
EE,ILI,W47,8,54.0259222191757,63.8803651012212,75.5322792808698
EE,ILI,W48,9,52.540968405674,63.0638398819264,75.6942253128278
EE,ILI,W49,10,57.8717443493934,68.5546324100283,81.2095380519382
EE,ILI,W50,11,38.9579997461095,56.363572289767,81.5455696382626
EE,ILI,W51,12,56.8422248481663,68.821462649758,83.325269795537
EE,ILI,W52,13,52.7506896013967,63.8847211340988,77.3688007724833
EE,ILI,W01,14,58.6104130847362,71.0037994454509,86.0178127118979
EE,ILI,W02,15,77.9275423729804,91.9661398166575,108.53378170578
EE,ILI,W03,16,102.493542736646,124.32626478938,150.809696921056
EE,ILI,W04,17,133.118761099189,157.31633817241,185.912414235402
EE,ILI,W05,18,131.392702538837,174.00149303337,230.427710160638
EE,ILI,W06,19,161.843048314173,185.470813705221,212.548040183351
EE,ILI,W07,20,156.283443795672,172.553136009037,190.51656415686
EE,ILI,W08,21,147.452357652741,161.393433529607,176.652586646461
EE,ILI,W09,22,143.478023071411,154.026003374241,165.349432669797
EE,ILI,W10,23,106.816333240663,119.261805310178,133.157334410616
EE,ILI,W11,24,95.6925842106868,113.098635302152,133.670768876368
EE,ILI,W12,25,87.3956099738083,101.582841169281,118.073134601566
EE,ILI,W13,26,84.2881537185115,90.4620175897074,97.0880991619499
EE,ILI,W14,27,65.723323190567,86.1396861837259,112.89820988382
EE,ILI,W15,28,65.1582971237716,74.8871749157936,86.0686852545548
EE,ILI,W16,29,50.9679470594741,59.2805232557571,68.9488323588094
EE,ILI,W17,30,51.9706719019449,64.5558607468742,80.1886718846491
EE,ILI,W18,31,51.3434264778733,54.6287543155231,58.1243014498044
EE,ILI,W19,32,40.4861992408374,51.4511299983687,65.3857074199955
EE,ILI,W20,33,32.3123027555434,46.0764984014631,65.7038813049561
