ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
EL,ILI,W40,1,97.8928901144659,221.026930879034,499.044456820938
EL,ILI,W41,2,98.2205954688419,209.775978319333,448.03191092232
EL,ILI,W42,3,128.117679604774,228.532811815148,407.650577478859
EL,ILI,W43,4,149.960857500955,234.273823847534,365.990335443338
EL,ILI,W44,5,115.651674455187,223.863761358584,433.326917968938
EL,ILI,W45,6,116.808182379372,218.617739848909,409.164111649472
EL,ILI,W46,7,120.882579805348,233.763864306345,452.054748859831
EL,ILI,W47,8,108.94989605789,239.218140670232,525.244363659758
EL,ILI,W48,9,118.763754214095,245.274332961466,506.547631537838
EL,ILI,W49,10,136.18202254032,246.310416105386,445.498017655348
EL,ILI,W50,11,155.131485902412,268.434609091783,464.490744345651
EL,ILI,W51,12,132.151482421461,269.773242206598,550.713475756217
EL,ILI,W52,13,124.475737389518,268.297643561612,578.294429503619
EL,ILI,W01,14,169.063487412445,284.958966328728,480.302481239125
EL,ILI,W02,15,243.944891634034,450.423184702784,831.667529329372
EL,ILI,W03,16,294.474319122826,567.407552243637,1093.30868410576
EL,ILI,W04,17,333.559521944883,623.390166220151,1165.05533127668
EL,ILI,W05,18,418.9336817465,666.629112359381,1060.77499329348
EL,ILI,W06,19,419.032513034196,684.235335435913,1117.28321716384
EL,ILI,W07,20,440.216266743492,693.264960824752,1091.77316291084
EL,ILI,W08,21,429.434445283095,646.196981986942,972.373185513237
EL,ILI,W09,22,410.352088659885,589.697927634513,847.427503030606
EL,ILI,W10,23,325.309844695481,475.539743389961,695.146646284483
EL,ILI,W11,24,298.782405747615,441.658803107281,652.858048565711
EL,ILI,W12,25,242.171607116621,378.566863045941,591.782296458189
EL,ILI,W13,26,206.088112738347,334.932233739148,544.328344352014
EL,ILI,W14,27,178.798498740362,295.659018440594,488.898149599074
EL,ILI,W15,28,160.874146037456,268.212055116216,447.167604500695
EL,ILI,W16,29,123.523637393381,238.065935372348,458.822220432342
EL,ILI,W17,30,129.43312404215,209.767013511712,339.960889326084
EL,ILI,W18,31,102.052975355606,170.673709075307,285.43523467121
EL,ILI,W19,32,90.0693414021477,162.360586283794,292.674061651224
EL,ILI,W20,33,81.5105957745272,139.428684834048,238.500994500492
