ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
ENG,ILI,W40,1,4.41179796578744,5.9769435458204,8.09734589547278
ENG,ILI,W41,2,3.34147016277065,5.20400925300406,8.10472965076442
ENG,ILI,W42,3,3.63549788941562,5.29093575750345,7.70018359012949
ENG,ILI,W43,4,5.24204483542902,5.57380315845009,5.92655778889491
ENG,ILI,W44,5,5.19361150901148,6.85250570257877,9.04126816616902
ENG,ILI,W45,6,6.06748155784165,6.77505301477685,7.56513932765295
ENG,ILI,W46,7,6.07657678735253,7.25254589781188,8.65609435058001
ENG,ILI,W47,8,6.90184831871752,8.85894031664459,11.3709864241777
ENG,ILI,W48,9,2.90687887273953,6.15376798250052,13.0273265726961
ENG,ILI,W49,10,2.74919141812096,6.42203411197201,15.0016917205136
ENG,ILI,W50,11,2.63732443526394,7.40614877468787,20.7979871340028
ENG,ILI,W51,12,2.7434481832211,9.26310130261922,31.2763500573361
ENG,ILI,W52,13,2.50848989462138,8.90894441099888,31.6402671936008
ENG,ILI,W01,14,2.63491516628663,9.62819835559736,35.1822346164459
ENG,ILI,W02,15,2.41941503699861,8.84185132614692,32.3129077393309
ENG,ILI,W03,16,2.36956847077586,8.23075970971853,28.5897648599891
ENG,ILI,W04,17,2.50609304663882,8.43616531980492,28.3983411543842
ENG,ILI,W05,18,2.41845966010405,8.35865990050132,28.88912992216
ENG,ILI,W06,19,2.21092225730351,6.42073861032997,18.6464649157144
ENG,ILI,W07,20,1.89693830756391,5.74764634757334,17.4151359614842
ENG,ILI,W08,21,1.04440718941699,3.86690757968034,14.3171881439616
ENG,ILI,W09,22,1.56086049021872,3.9937779018214,10.2188901756632
ENG,ILI,W10,23,1.52051648233202,3.82597164568126,9.6270308172566
ENG,ILI,W11,24,1.18937557831632,2.96930691590152,7.41295157018576
ENG,ILI,W12,25,1.23549184116789,2.84725101358973,6.56162838495516
ENG,ILI,W13,26,1.11502862211869,2.24169351221046,4.50678099467797
ENG,ILI,W14,27,1.03421896904396,2.09864156372324,4.25857245401147
ENG,ILI,W15,28,1.12605306210272,1.804617795811,2.89208874657869
ENG,ILI,W16,29,0.619949325634727,1.24723406592978,2.50922575586813
ENG,ILI,W17,30,0.767690806127639,1.56407193496938,3.18659673690571
ENG,ILI,W18,31,0.970531030704392,1.69464559543922,2.9590230536547
ENG,ILI,W19,32,0.516943387748211,1.29336994404065,3.23595552587375
ENG,ILI,W20,33,0.572856332826116,1.67149884905083,4.87715373345852
