ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
ES,ILI,W40,1,6.01059954320914,8.0043728835637,10.6594999048834
ES,ILI,W41,2,5.29557418280971,8.53708263646959,13.7627719725836
ES,ILI,W42,3,5.16966278217483,8.34184258060558,13.4605177497341
ES,ILI,W43,4,6.40161826492018,8.4303315433282,11.1019568786051
ES,ILI,W44,5,7.88366681264069,9.31020106545042,10.9948639305927
ES,ILI,W45,6,9.91061800619739,12.3667424261083,15.4315622030907
ES,ILI,W46,7,9.64258240439491,12.4174194310576,15.9907687443281
ES,ILI,W47,8,12.778045648139,15.2027840095324,18.0876362477353
ES,ILI,W48,9,14.9916895430081,17.1847274873332,19.6985708626573
ES,ILI,W49,10,21.576642225504,22.9132111017175,24.3325739707215
ES,ILI,W50,11,23.297184591431,29.0286206548444,36.1700708433585
ES,ILI,W51,12,28.5632379027571,33.3088856078389,38.8430003703819
ES,ILI,W52,13,32.3573721295923,43.1321016233605,57.4947243242443
ES,ILI,W01,14,60.6750571697566,78.8924276552607,102.579468922905
ES,ILI,W02,15,105.849658625916,145.857148618297,200.98607854982
ES,ILI,W03,16,153.788133438979,200.215422437317,260.658702887887
ES,ILI,W04,17,183.299375884831,233.468760818011,297.369601040789
ES,ILI,W05,18,196.032711315449,235.101056066742,281.955527691268
ES,ILI,W06,19,202.946527419427,221.888791005444,242.599054045921
ES,ILI,W07,20,168.001442799785,180.261863743157,193.417026536382
ES,ILI,W08,21,120.689999805725,143.291241130036,170.124946703431
ES,ILI,W09,22,80.5858642707946,110.227498476451,150.772117794106
ES,ILI,W10,23,47.2562346525649,69.0326375028683,100.843943146108
ES,ILI,W11,24,30.5625561293201,45.1426167850318,66.678187569698
ES,ILI,W12,25,19.4826282273325,29.793723130551,45.5619194506113
ES,ILI,W13,26,9.48089065602418,17.5331379292123,32.4242665376016
ES,ILI,W14,27,9.27227910331801,14.7697752368986,23.5267142110121
ES,ILI,W15,28,8.0077722382364,10.226907153618,13.0610145764782
ES,ILI,W16,29,2.58391963581198,5.5593386342847,11.9609935318048
ES,ILI,W17,30,3.38602891146985,5.05095691278824,7.53453865926048
ES,ILI,W18,31,2.31937395784679,3.37232330364226,4.90329057365395
ES,ILI,W19,32,2.2103141399381,2.60435229560276,3.06863660556472
ES,ILI,W20,33,1.3959501395909,2.68791269390108,5.1755964952673
