ReportingCountryMnemonic,NominatorType,AbsoluteWeek,RelativeWeek,IntensityLower,Intensity,IntensityUpper
FR,ILI,W40,1,7.99181561331883,22.2364929706463,61.870999477209
FR,ILI,W41,2,10.2839754786487,22.0916340121144,47.4563843854416
FR,ILI,W42,3,11.7144246847817,25.6758549854055,56.2767312071254
FR,ILI,W43,4,9.73848914900899,23.7457445356093,57.9001911818937
FR,ILI,W44,5,10.4748457062913,24.6739781903511,58.1206842380761
FR,ILI,W45,6,16.396676281253,35.5884787385729,77.2436923923382
FR,ILI,W46,7,16.5855768904185,35.4562317804421,75.7974462012647
FR,ILI,W47,8,28.5686938779267,46.6019615930012,76.0182748849269
FR,ILI,W48,9,38.6819906610858,53.0872940822257,72.8571809466853
FR,ILI,W49,10,50.0880349440127,64.8777023535013,84.0343660392022
FR,ILI,W50,11,52.9862221159383,95.1664684490095,170.924749027013
FR,ILI,W51,12,46.4258757492234,108.962798205738,255.73866300245
FR,ILI,W52,13,74.298334215968,170.810757982899,392.691375258614
FR,ILI,W01,14,95.7778792322484,207.632669892278,450.117771996773
FR,ILI,W02,15,115.163923924183,246.211000830068,526.378876857759
FR,ILI,W03,16,111.785541718142,250.848170538884,562.906469795213
FR,ILI,W04,17,104.654369436439,227.043685006512,492.562662972653
FR,ILI,W05,18,66.5722094890103,161.205321809026,390.360421849025
FR,ILI,W06,19,37.3017332585255,99.2669307422276,264.167980364023
FR,ILI,W07,20,29.4176253185687,69.9993069646844,166.563511584439
FR,ILI,W08,21,23.1302377881291,53.8621577113077,125.425949352181
FR,ILI,W09,22,17.6514654954673,38.6047937474566,84.4309556431089
FR,ILI,W10,23,13.3781136589638,34.0406203360311,86.6163842228535
FR,ILI,W11,24,12.4730489700655,28.2659047728478,64.0550177061882
FR,ILI,W12,25,9.56333306830348,28.2088338850302,83.2072148350251
FR,ILI,W13,26,11.0066663885853,23.5106016332568,50.2194188179392
FR,ILI,W14,27,11.2315550486839,21.230933736832,40.1326927022961
FR,ILI,W15,28,1.760062869024,10.5564531769704,63.3151835873699
FR,ILI,W16,29,0.450939671713231,4.56430823736719,46.1988842244653
FR,ILI,W17,30,NA,25.8313228179736,NA
FR,ILI,W18,31,NA,23.9344987670952,NA
FR,ILI,W19,32,NA,22.7896244618128,NA
